Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
33,Aerolínea Carrillo,T3R Elemento,136018,https://open.spotify.com/track/0xYTyyfV767E2Vn3hz56kL,2019-01-02,0xYTyyfV767E2Vn3hz56kL,0.337,0.669,174276,0.561,0.0,1,0.198,-6.613,1,0.0318,114.405,3,0.867
34,Sola,Manuel Turizo,135627,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-02,675w3ACw5xZR3ODhUJlEVN,0.483,0.704,195044,0.706,0.0,11,0.0965,-5.233,0,0.111,92.965,4,0.856
35,Ponle,Rvssian,134903,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4,2019-01-02,28O1p0bQXH2F6Qn8jBZZR4,0.187,0.857,164765,0.772,0.00181,10,0.0851,-4.736,0,0.194,94.028,4,0.589
36,PPP,Kevin Roldan,134610,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019-01-02,1DcxnVNFAyVl2sDQ646pXS,0.363,0.786,129040,0.65,8.17e-05,4,0.122,-6.839,1,0.109,92.975,4,0.712
37,Ahora Te Puedes Marchar,Luis Miguel,131217,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E,2019-01-02,1uKjQoh8JZj9ryuYRhpd7E,0.148,0.78,191973,0.877,2.36e-06,6,0.0627,-3.683,0,0.0427,133.263,4,0.909
38,Créeme,KAROL G,125267,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-02,1mT47pKLXUwPYGwB91GcNz,0.154,0.715,212493,0.872,0.000146,6,0.11,-3.501,1,0.0547,96.939,4,0.682
39,Mala Mía,Maluma,122894,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-02,62o8KoI44JfN7aYxgTnPvh,0.31,0.749,183753,0.752,0.0,6,0.232,-4.883,1,0.345,180.049,4,0.901
40,Me Rehúso,Danny Ocean,121801,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2019-01-02,6De0lHrwBfPfrhorm9q1Xl,0.0231,0.744,205715,0.804,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,0.426
41,Sin Pijama,Becky G,119134,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019-01-02,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560,0.745,2.93e-05,11,0.104,-3.695,0,0.0464,94.014,4,0.82
42,Déjala que vuelva (feat. Manuel Turizo),Piso 21,115705,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,2019-01-02,1j6xOGusnyXq3l6IryKF3G,0.0482,0.681,220117,0.788,0.0,1,0.0753,-4.323,1,0.0785,170.019,4,0.839
43,Cuando Nadie Ve,Morat,113665,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,2019-01-02,71iAechwVKGu26pahzFL0k,0.133,0.806,219587,0.778,0.0,1,0.218,-4.577,0,0.0616,95.993,4,0.84
44,No Me Acuerdo,Thalía,113321,https://open.spotify.com/track/1G586ld1gbaECg4Bc6w40O,2019-01-02,1G586ld1gbaECg4Bc6w40O,0.175,0.837,217653,0.784,0.0,7,0.0897,-4.531,0,0.101,94.036,4,0.748
45,Culpables,KAROL G,109686,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-02,6q8Lb50EtqNeeJXXe8mMAH,0.279,0.728,226627,0.801,4.71e-06,8,0.143,-2.942,0,0.0683,130.059,4,0.416
46,Another One Bites The Dust - Remastered 2011,Queen,107927,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019-01-02,5vdp5UmvTsnMEMESIF2Ym7,0.112,0.933,214653,0.528,0.312,5,0.163,-6.472,0,0.161,109.967,4,0.754
47,El Color de Tus Ojos,Banda Sinaloense MS de Sergio Lizárraga,106218,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq,2019-01-02,1l77YWrGUp3qX3NS1rz7lq,0.278,0.765,202560,0.339,0.0,8,0.131,-8.965,1,0.0365,123.95,4,0.864
48,En Donde Esta Tu Amor,Virlan Garcia,102156,https://open.spotify.com/track/3HGJyp3fbmd5ylCe3dvLiS,2019-01-02,3HGJyp3fbmd5ylCe3dvLiS,0.582,0.501,217429,0.4,0.0,0,0.0692,-4.76,1,0.0352,73.054,4,0.556
49,Girls Like You (feat. Cardi B),Maroon 5,100470,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-02,7fa9MBXhVfQ8P8Df9OEbD8,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
50,Natural,Imagine Dragons,99985,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019-01-02,2FY7b99s15jUprqC0M5NCT,0.217,0.704,189467,0.611,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,0.22
